"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-16.0307087855924,-6.64887456231865,-0.631449931520737,1.00626858658984,-0.218274123411196,-0.850942747782211,-1.055174296605,-1.07639616356229,-0.91428434419705,12.55,-6.01260909080668,0.70103293,0.621667414
"2",6.94089944676549e-310,60,-16.1742734705605,-7.4980286236258,-1.62543290957648,0.764009821479008,-0.183023310580492,-0.823404901061216,-1.05251166104189,-1.07615238565592,-0.910881684065931,12.55,-6.32805807858193,0.70103293,0.621667414
"3",6.94089944676549e-310,120,-16.2509405943093,-8.20100482516041,-2.51280054205026,0.491708362576633,-0.16967757529049,-0.796654629107431,-1.04954897328368,-1.07589799378138,-0.907481497084693,12.55,-6.58453551249471,0.70103293,0.621667414
"4",6.94089944676549e-310,180,-16.2740252626981,-8.79101027716278,-3.30229349225531,0.199677988773472,-0.17690780728616,-0.771691216448329,-1.04630859207103,-1.07563222884378,-0.904083775698311,12.55,-6.79306581899669,0.70103293,0.621667414
"5",6.94089944676549e-310,240,-16.2683758644378,-9.28936817899395,-4.00403288371476,-0.103955353460926,-0.20297606461688,-0.749361668614209,-1.04282431546926,-1.07535441292198,-0.900688511984692,12.55,-6.96261246513399,0.70103293,0.621667414
"6",6.94089944676549e-310,300,-16.240102914533,-9.71221550602009,-4.62788958293708,-0.412901841654403,-0.245933088448154,-0.730356889240524,-1.03913917558881,-1.07506397755412,-0.897295697704536,12.55,-7.10046324422984,0.70103293,0.621667414
"7",6.94089944676549e-310,360,-16.193401853207,-10.0718261610214,-5.18293043878245,-0.722361328819331,-0.303760617896294,-0.715216652645807,-1.03530328304714,-1.0747604858822,-0.893905324364199,12.55,-7.21254353440526,0.70103293,0.621667414
"8",6.94089944676549e-310,420,-15.2721114131948,-10.3013739911222,-5.6727200360142,-1.02865184858965,-0.374467924653546,-0.704340211398428,-1.03137181327366,-1.07444364892663,-0.890517383288413,12.55,-7.30367099504201,0.70103293,0.621667414
"9",6.94089944676549e-310,480,-7.06378168193023,-9.54102479861262,-6.03985623883129,-1.32735767650863,-0.456108803598678,-0.69799938035531,-1.02740318607072,-1.07411333648528,-0.887131865699951,12.55,-6.30914305428098,0.70103293,0.621667414
"10",6.94089944676549e-310,540,9.02212768547872,-6.18251775877161,-5.98914391160325,-1.60268501432286,-0.546403204540693,-0.696344046365183,-1.02345741810092,-1.07376958321537,-0.883748762803612,12.55,-2.23843097046239,0.70103293,0.621667414
"11",6.94089944676549e-310,600,24.5650574052486,-0.0910762116477846,-5.11155225330397,-1.81448611959209,-0.641428076833503,-0.699365248533799,-1.01959435382376,-1.07341259008427,-0.88036806587208,12.55,3.40777037188644,0.70103293,0.621667414
"12",6.94089944676549e-310,660,34.0115936727174,6.9100945611312,-3.2430753667519,-1.90553942681105,-0.734220838856411,-0.706786917311742,-1.01587099521197,-1.07304271988096,-0.87698976633101,12.55,9.09268362986165,0.70103293,0.621667414
"13",6.94089944676549e-310,720,38.5160298075768,12.6163888476062,-0.6709242101314,-1.82855338343591,-0.814890185640326,-0.717929103495173,-1.01233722138805,-1.07266048319992,-0.873613855839512,12.55,13.2689948907087,0.70103293,0.621667414
