"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-16.3742721147521,-9.22454898065454,-4.43184365252981,-2.36619201020308,-2.51360253415283,-2.46725188735214,-2.21775571814303,-2.15248257248388,-2.00040499298782,10.4583333333333,-6.01475903967901,0.752752756,0.593236835
"2",6.94089944676549e-310,60,-16.4439792175226,-9.8224611800959,-5.14332087393486,-2.54936647839536,-2.50615377631202,-2.46315014808241,-2.22049549898626,-2.15249685026995,-1.9972693493528,10.4583333333333,-6.28419558293427,0.752752756,0.593236835
"3",6.94089944676549e-310,120,-16.4622840740086,-10.3113050609182,-5.7784818391088,-2.75361659515655,-2.51341833295606,-2.45942271445735,-2.22313229148621,-2.15251502386869,-1.99413610036148,10.4583333333333,-6.50475382779842,0.752752756,0.593236835
"4",6.94089944676549e-310,180,-16.2987430468856,-10.7264786237566,-6.34224989174318,-2.97168572367742,-2.53455198043776,-2.45674887725053,-2.22567730282419,-2.15253681036683,-1.99100524614325,10.4583333333333,-6.68530075283616,0.752752756,0.593236835
"5",6.94089944676549e-310,240,-16.3213663554388,-11.0600984954846,-6.84257499995744,-3.19775022290206,-2.56840966215391,-2.45570763078816,-2.22814955228481,-2.15256196987129,-1.98787678669171,10.4583333333333,-6.8330947841165,0.752752756,0.593236835
"6",6.94089944676549e-310,300,-16.9811393702963,-11.2937958646432,-7.2876849907304,-3.42725958246966,-2.61368197015884,-2.45677365496727,-2.23057440721497,-2.15259032500003,-1.98475072189207,10.4583333333333,-6.95407760161686,0.752752756,0.593236835
"7",6.94089944676549e-310,360,-16.537547759072,-11.5552830140471,-7.6789217193079,-3.65680842758374,-2.66899360131817,-2.46031974100964,-2.23298214531458,-2.15262177605271,-1.98162705155753,10.4583333333333,-7.05311300922784,0.752752756,0.593236835
"8",6.94089944676549e-310,420,-16.3348208897122,-11.7504734770602,-8.02592715155891,-3.88368745609394,-2.73297801562572,-2.46662312752519,-2.23540659038845,-2.15265631243355,-1.97850577547256,10.4583333333333,-7.13418247151458,0.752752756,0.593236835
"9",6.94089944676549e-310,480,-12.0389105631366,-11.5280986737988,-8.30940139775254,-4.10553360926126,-2.80431336468517,-2.47587428163588,-2.23788388775977,-2.15269402024492,-1.9753868934409,10.4583333333333,-6.81298755922899,0.752752756,0.593236835
"10",6.94089944676549e-310,540,-0.201821962545294,-9.57419746920294,-8.37029136209321,-4.31467949754276,-2.88157936904613,-2.48818373546877,-2.24045140060052,-2.15273508679789,-1.97227040533663,10.4583333333333,-3.73018908058731,0.752752756,0.593236835
"11",6.94089944676549e-310,600,13.4796427971924,-5.19741518697604,-7.86364820151501,-4.48604098387175,-2.96246429062785,-2.50356687442869,-2.24314661039311,-2.15277980209181,-1.96915631115679,10.4583333333333,0.957301637328897,0.752752756,0.593236835
"12",6.94089944676549e-310,660,20.1070455243809,0.202125107872192,-6.59332044533535,-4.57667807775962,-3.04249182613784,-2.52187468453539,-2.24600552286855,-2.15282855673427,-1.9660446110739,10.4583333333333,5.86426948228672,0.752752756,0.593236835
"13",6.94089944676549e-310,720,25.186442225648,4.49508120421072,-4.77854789537399,-4.54929189587605,-3.11480235894432,-2.54268639689625,-2.24905991858664,-2.1528818339934,-1.96293530548585,10.4583333333333,9.54064096654645,0.752752756,0.593236835
"14",6.94089944676549e-310,780,26.1975419660638,8.17830482129492,-2.68743426756129,-4.3902011449358,-3.171691314008,-2.56524621316532,-2.25233347684389,-2.15294019261407,-1.95982839505953,10.4583333333333,10.8999999999996,0.752752756,0.593236835
"15",6.94089944676549e-310,840,22.3305739072005,10.0322561006816,-0.605409535175194,-4.10444638701331,-3.2061692373306,-2.58848833078058,-2.25583774623035,-2.15300423854173,-1.95672388076271,10.4583333333333,9.54063812295942,0.752752756,0.593236835
"16",6.94089944676549e-310,900,11.645839606568,9.40079668603298,1.04910635907146,-3.72260917689619,-3.21334555858897,-2.61112799071709,-2.25956895057987,-2.15307458660878,-1.95362176387859,10.4583333333333,5.86426463543,0.752752756,0.593236835
"17",6.94089944676549e-310,960,-2.75536832296707,6.29371268016616,1.90763359002151,-3.30153452197725,-3.19205855770726,-2.63182156749528,-2.26350645142644,-2.15315181566302,-1.95052204599875,10.4583333333333,0.95729621951233,0.752752756,0.593236835
"18",6.94089944676549e-310,1020,-10.6576739132425,2.04193751417552,1.84796260920603,-2.91050588597577,-3.14582631855749,-2.64938207847008,-2.26761367277273,-2.15323642289738,-1.94742472899246,10.4583333333333,-1.46983321343748,0.752752756,0.593236835
"19",6.94089944676549e-310,1080,-13.4704778388776,-1.37484925443465,1.1315594377481,-2.60351511884239,-3.08218852126229,-2.66298957349738,-2.27184179944781,-2.153328784734,-1.9443298149539,10.4583333333333,-2.56376163153948,0.752752756,0.593236835
"20",6.94089944676549e-310,1140,-14.3561698979135,-3.71684164950595,0.133184466269177,-2.40098707167505,-3.01026440003119,-2.67230585289991,-2.27613556061854,-2.15342913123349,-1.94123730613241,10.4583333333333,-3.45924124610292,0.752752756,0.593236835
"21",6.94089944676549e-310,1200,-15.0013026256489,-5.40614909504146,-0.928077989724022,-2.29839305733565,-2.93834403874889,-2.67745282562844,-2.28043947253408,-2.1535375376016,-1.93814720485404,10.4583333333333,-4.19227251837759,0.752752756,0.593236835
"22",6.94089944676549e-310,1260,-15.496093650331,-6.7005665148933,-1.95583404239455,-2.281512869753,-2.87282620820988,-2.67890629263122,-2.28470305986761,-2.15365393175826,-1.93505951344308,10.4583333333333,-4.79232509064593,0.752752756,0.593236835
"23",6.94089944676549e-310,1320,-15.8762345665301,-7.73647423474796,-2.91166446970309,-2.3340456493271,-2.81811425717352,-2.67737195992217,-2.28888446392042,-2.15377811407771,-1.93197423415079,10.4583333333333,-5.28352253760949,0.752752756,0.593236835
"24",6.94089944676549e-310,1380,-16.1662671832906,-8.58949112698583,-3.78358799579527,-2.44075089553686,-2.77688795014621,-2.67367623563867,-2.29295247832539,-2.15390978477586,-1.92889136909658,10.4583333333333,-5.68561219284004,0.752752756,0.593236835
"25",2.12199579788219e-314,0,-13.8337729244583,-6.79945668834245,-2.06675849887978,-0.00867367945342219,-0.175671773380158,-0.151168646922022,0.0843334345919878,0.146904036760029,0.272657574167549,10.4583333333333,-3.714759039679,0.752752756,0.593236835
"26",2.12199579788219e-314,60,-13.8906460836284,-7.38853586357556,-2.77345703112516,-0.194126462511393,-0.168384904442858,-0.146291837913021,0.0817376643753479,0.146867749602957,0.275241557470279,10.4583333333333,-3.98419558293426,0.752752756,0.593236835
"27",2.12199579788219e-314,120,-13.897516690285,-7.86744677177107,-3.40307468986494,-0.400161426457614,-0.176002953694457,-0.141860165704744,0.0792523726333391,0.146827416257051,0.277823527859975,10.4583333333333,-4.20475382779841,0.752752756,0.593236835
"28",2.12199579788219e-314,180,-13.7062845275731,-8.27347518104678,-3.96055716282992,-0.619491159077459,-0.197618542455932,-0.138561200892084,0.0768651398804027,0.146783342194788,0.280403484854909,10.4583333333333,-4.38530075283614,0.752752756,0.593236835
"29",2.12199579788219e-314,240,-13.6882140800498,-8.59873716486417,-4.45401493582351,-0.846280554522828,-0.232029196394852,-0.136977778596914,0.0745556119185609,0.146735785860395,0.282981428121258,10.4583333333333,-4.53309478411649,0.752752756,0.593236835
"30",2.12199579788219e-314,300,-14.4244682144621,-8.81606097580129,-4.89221280579157,-1.07598121398661,-0.277874465320446,-0.137584618345151,0.0722970324118948,0.14668493877965,0.285557357443276,10.4583333333333,-4.65407760161685,0.752752756,0.593236835
"31",2.12199579788219e-314,360,-13.9601980715472,-9.06818687327813,-5.27595309677622,-1.30522555274443,-0.333729965373015,-0.14075126120534,0.0700577391526141,0.146630910211181,0.288131272684258,10.4583333333333,-4.75311300922783,0.752752756,0.593236835
"32",2.12199579788219e-314,420,-13.7447488263576,-9.2531727289241,-5.61529962474393,-1.53133105398315,-0.398191234007582,-0.146749023866971,0.0678025792090171,0.146573715727254,0.290703173740417,10.4583333333333,-4.83418247151457,0.752752756,0.593236835
"33",2.12199579788219e-314,480,-9.45884293323397,-9.0193996126735,-5.89060666553836,-1.75195795327469,-0.469907068689922,-0.155760581486424,0.0654941714916107,0.146513269782882,0.293273060490229,10.4583333333333,-4.51298755922897,0.752752756,0.593236835
"34",2.12199579788219e-314,540,2.35110923224754,-7.0532689384339,-5.94106511581496,-1.95934389981753,-0.547428951071987,-0.167887265062139,0.0630940386842313,0.146449381482576,0.295840932740612,10.4583333333333,-1.4301890805873,0.752752756,0.593236835
"35",2.12199579788219e-314,600,15.8857574758761,-2.67147246023934,-5.41947756869042,-2.12799005389711,-0.628395042833543,-0.183133354055655,0.060563733413141,0.146381753476294,0.298406790171794,10.4583333333333,3.25730163732891,0.752752756,0.593236835
"36",2.12199579788219e-314,660,22.2545251362686,2.69565778643025,-4.13391290228698,-2.21445429385287,-0.708229984034859,-0.201334446949218,0.0578664809973495,0.146309984541331,0.300970632282572,10.4583333333333,8.16426948228673,0.752752756,0.593236835
"37",2.12199579788219e-314,720,27.2902999169266,6.90348606447901,-2.31478175460661,-2.1816477442745,-0.779953231754412,-0.222047327637465,0.0549700237254913,0.146233578277438,0.303532458338402,10.4583333333333,11.8406409665465,0.752752756,0.593236835
"38",2.12199579788219e-314,780,28.3427176663303,10.5461457050526,-0.22928803904784,-2.01674536013808,-0.835791431717646,-0.244487381211211,0.0518506170830005,0.146151961425254,0.30609226732639,10.4583333333333,13.1999999999996,0.752752756,0.593236835
"39",2.12199579788219e-314,840,24.5248878394526,12.3839690853621,1.8441075060752,-1.72544619275456,-0.868754665645322,-0.267557541594768,0.0484971452888631,0.146064513666641,0.308650057922822,10.4583333333333,11.8406381229594,0.752752756,0.593236835
"40",2.12199579788219e-314,900,13.9193911851721,11.7410063988823,3.48660185340582,-1.33857925737641,-0.874000065747636,-0.289943267814682,0.0449143405518328,0.145970607699494,0.31120582847899,10.4583333333333,8.16426463543002,0.752752756,0.593236835
"41",2.12199579788219e-314,960,-0.408083046618226,8.62742652464251,4.32844175381509,-0.913657908441319,-0.850462233101629,-0.310276135420759,0.0411242843900147,0.145869655904987,0.313759577029787,10.4583333333333,3.25729621951234,0.752752756,0.593236835
"42",2.12199579788219e-314,1020,-8.22148190889895,4.37780767077487,4.24924887800932,-0.520818398661996,-0.801847371548459,-0.327354661349782,0.0371653708410228,0.145761157614988,0.316311301326996,10.4583333333333,0.830166786562529,0.752752756,0.593236835
"43",2.12199579788219e-314,1080,-10.9832220060425,0.97972528010118,3.51611093171932,-0.214231937260233,-0.735936633145838,-0.34035991505299,0.0330883998281104,0.145644739318629,0.318860998895631,10.4583333333333,-0.263761631539467,0.752752756,0.593236835
"44",2.12199579788219e-314,1140,-11.8578410091297,-1.34239241560038,2.50691955991585,-0.0138437973745835,-0.662052716210754,-0.348970494042133,0.0289505313271055,0.145520180551815,0.321408667107686,10.4583333333333,-1.15924124610291,0.752752756,0.593236835
"45",2.12199579788219e-314,1200,-12.4938822126693,-3.01607102666113,1.44001138397443,0.0855576595093331,-0.588605200198992,-0.353336138223912,0.0248088127895852,0.145387421838496,0.323954303264642,10.4583333333333,-1.89227251837758,0.752752756,0.593236835
"46",2.12199579788219e-314,1260,-12.9799437457982,-4.29824400545846,0.410426571313449,0.0988695752582287,-0.522027112041368,-0.3539653222893,0.0207148147932934,0.145246555910314,0.326497904679528,10.4583333333333,-2.49232509064592,0.752752756,0.593236835
"47",2.12199579788219e-314,1320,-13.3516053473604,-5.32399111682585,-0.544645543682161,0.0427826958179498,-0.466696915386088,-0.351596043535515,0.0167109720671322,0.145097806388069,0.329039468750936,10.4583333333333,-2.98352253760947,0.752752756,0.593236835
"48",2.12199579788219e-314,1380,-13.6333428949135,-6.16802285153323,-1.41401325120387,-0.0672778113116079,-0.425243055369553,-0.347083565014737,0.0128285658094939,0.144941498717747,0.331578993023645,10.4583333333333,-3.38561219284003,0.752752756,0.593236835
"49",6.94089944676549e-310,0,-11.2608417045624,-4.35432550503106,0.311126814895064,2.35881273127974,2.16903995331055,2.16875790601417,2.38720164969758,2.44629705328132,2.54526972145005,10.4583333333333,-1.41475903967898,0.752752756,0.593236835
"50",6.94089944676549e-310,60,-11.3041864524972,-4.93317067670502,-0.389698866564355,2.17113330392684,2.17618339919863,2.17449250105718,2.38478880132372,2.44624010518116,2.5472932641604,10.4583333333333,-1.68419558293425,0.752752756,0.593236835
"51",6.94089944676549e-310,120,-11.2993990263715,-5.40094522623233,-1.01265001996771,1.96337836898752,2.16824132419379,2.17970608352392,2.38249428239929,2.44617905391891,2.54931520025671,10.4583333333333,-1.9047538277984,0.752752756,0.593236835
"52",6.94089944676549e-310,180,-11.0769953416996,-5.79700261616472,-1.56275877727358,1.742888162328,2.14619039116846,2.18370406851747,2.38030438477125,2.4461142284247,2.5513355289198,10.4583333333333,-2.08530075283613,0.752752756,0.593236835
"53",6.94089944676549e-310,240,-11.0068081622387,-6.11374577398842,-2.04833029959858,1.51552740310978,2.11129759136246,2.18590139783096,2.37819736559137,2.4460459063457,2.55335424949107,10.4583333333333,-2.23309478411647,0.752752756,0.593236835
"54",6.94089944676549e-310,300,-11.8188276031247,-6.31388441527518,-2.47871415460864,1.28582517982363,2.06497859218324,2.18582522430755,2.37614505250958,2.44597429382677,2.55537136144012,10.4583333333333,-2.35407760161684,0.752752756,0.593236835
"55",6.94089944676549e-310,360,-11.345386486327,-6.55508653414677,-2.85416814945597,1.05711006952714,2.00869743999986,2.18311099929725,2.37411439985999,2.44589951006488,2.55738686432292,10.4583333333333,-2.45311300922782,0.752752756,0.593236835
"56",6.94089944676549e-310,420,-11.1187815875148,-6.72903394387268,-3.1851016164065,0.832034621885714,1.94388907726302,2.17749460649563,2.37206894928459,2.44582157597111,2.55940075773285,10.4583333333333,-2.53418247151455,0.752752756,0.593236835
"57",6.94089944676549e-310,480,-6.84511509518931,-6.48317899477897,-3.45153464649377,0.612916594840048,1.87192538533782,2.16880197431883,2.3699701247258,2.44574040696429,2.56141304124727,10.4583333333333,-2.21298755922896,0.752752756,0.593236835
