"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-21.1027936388115,-13.1610564119735,-7.89701358585412,-5.9838487040821,-6.43764372870893,-6.56324985652238,-6.42997165823451,-6.38737759030143,-6.22540089449053,7.32916666666667,-10.5436039955326,0.80219598,0.638899838
"2",6.94089944676549e-310,60,-21.2755044240893,-13.8462871187635,-8.70087150443973,-6.17878446154877,-6.42096333345409,-6.55339324352578,-6.43131594115336,-6.38731736288782,-6.2220421317514,7.32916666666667,-10.8278044184992,0.80219598,0.638899838
"3",6.94089944676549e-310,120,-21.3542619398756,-14.4162837114577,-9.42099905411358,-6.39842707988664,-6.42069120054413,-6.543883061837,-6.43251209715278,-6.38725716378249,-6.21868585065551,7.32916666666667,-11.0601093854362,0.80219598,0.638899838
"4",6.94089944676549e-310,180,-21.37007020709,-14.8962242378424,-10.0636324834285,-6.63468987829296,-6.43597807585928,-6.5354734466721,-6.43357211226714,-6.38719660779245,-6.2153320492837,7.32916666666667,-11.2499950903915,0.80219598,0.638899838
"5",6.94089944676549e-310,240,-21.3615810230008,-15.301919047677,-10.6363519325611,-6.88111473483547,-6.46563056675873,-6.52881270197196,-6.4345165595502,-6.38713535573062,-6.21198072553359,7.32916666666667,-11.4052073590821,0.80219598,0.638899838
"6",6.94089944676549e-310,300,-21.3342950094538,-15.6462512604425,-11.1466681324989,-7.13263911166648,-6.50826176660597,-6.5244381550569,-6.43537306994621,-6.38707313544855,-6.20863187714856,7.32916666666667,-11.5320776169446,0.80219598,0.638899838
"7",6.94089944676549e-310,360,-21.2906737793046,-15.9389954296426,-11.6015739881318,-7.3853491775826,-6.56240244742461,-6.5227777831148,-6.43617481074886,-6.38700975865095,-6.20528550175627,7.32916666666667,-11.6357811609098,0.80219598,0.638899838
"8",6.94089944676549e-310,420,-21.1626021489195,-16.1814943264939,-12.0069851257197,-7.63625191780049,-6.62657929973139,-6.52415635428837,-6.43695904246563,-6.38694513361212,-6.2019415969147,7.32916666666667,-11.7205482703342,0.80219598,0.638899838
"9",6.94089944676549e-310,480,-15.4703080253989,-15.8785235643412,-12.3379339257884,-7.88258869292364,-6.69935938621597,-6.52880422982228,-6.43776579765151,-6.38687927408717,-6.19860016016357,7.32916666666667,-11.2689650716402,0.80219598,0.638899838
"10",6.94089944676549e-310,540,-2.37725104080172,-13.5215433574336,-12.3984305925355,-8.11486523007242,-6.77916557349427,-6.53686382255931,-6.43863669123403,-6.38681230478956,-6.19526118907935,7.32916666666667,-7.91927963812412,0.80219598,0.638899838
"11",6.94089944676549e-310,600,12.3488173355667,-8.60474755611062,-11.8175274820534,-8.30431412580335,-6.86336216530658,-6.54837001485105,-6.43961370705439,-6.38674446366242,-6.19192468133223,7.32916666666667,-2.93933346507447,0.80219598,0.638899838
"12",6.94089944676549e-310,660,19.9824634945355,-2.61056849368469,-10.3991903499982,-8.40421290632911,-6.9469567321171,-6.56317343943985,-6.44073741888722,-6.38667610024314,-6.18859063474321,7.32916666666667,2.22609560163818,0.80219598,0.638899838
"13",6.94089944676549e-310,720,25.3807783628978,2.27607568986854,-8.36538397967409,-8.37371485815419,-7.02242624380468,-6.5808279228907,-6.44204399394332,-6.38660766765564,-6.18525904733889,7.32916666666667,6.07841757315214,0.80219598,0.638899838
"14",6.94089944676549e-310,780,27.0054891389193,6.30248058568118,-6.01666407047545,-8.19669908994748,-7.08127978024367,-6.60052325106895,-6.44356103612782,-6.38653970479417,-6.18192991739981,7.32916666666667,7.49999999999955,0.80219598,0.638899838
"15",6.94089944676549e-310,840,22.2796842313967,8.38386823904528,-3.69122296965092,-7.87864471386958,-7.11576286982402,-6.62110907800445,-6.44530324440402,-6.38647280677849,-6.17860324349666,7.32916666666667,6.07841456970124,0.80219598,0.638899838
"16",6.94089944676549e-310,900,10.4758400457697,7.80418708109141,-1.83365860029059,-7.45297025997185,-7.12041006828587,-6.6411923974459,-6.44726893381296,-6.3864075846995,-6.17527902450884,7.32916666666667,2.22609046609506,0.80219598,0.638899838
"17",6.94089944676549e-310,960,-4.59801508636234,4.46485277827976,-0.835094523046009,-6.98118650478151,-7.09375625969733,-6.65930839875387,-6.44943830949225,-6.38634461829167,-6.17195725962044,7.32916666666667,-2.93933924279031,0.80219598,0.638899838
