"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-18.2287423388648,-11.5388464623073,-6.96937832633367,-4.88644851718806,-4.94153734449321,-4.85123595609652,-4.58773662810478,-4.52208379410776,-4.37573046759792,7.725,-7.62272240006644,0.760654826,0.612927217
"2",6.94089944676549e-310,60,-18.2392618155394,-12.0701151093134,-7.62934539198922,-5.06085386506542,-4.93735284074875,-4.8490740112449,-4.59063719830675,-4.52210550767646,-4.37271343124333,7.725,-7.83696245780192,0.760654826,0.612927217
"3",6.94089944676549e-310,120,-18.2090807004933,-12.4999760908451,-8.21553762226761,-5.25409497158862,-4.94670858939326,-4.84727522441577,-4.59345724498493,-4.52213165091242,-4.36969868296231,7.725,-8.01221527723351,0.760654826,0.612927217
"4",6.94089944676549e-310,180,-18.042228718305,-12.8603301650099,-8.73326852285045,-5.45941948061881,-4.96879429429245,-4.8464568597145,-4.59620690630834,-4.52216200149098,-4.36668622324862,7.725,-8.15557572552382,0.760654826,0.612927217
"5",6.94089944676549e-310,240,-18.0325298509998,-13.1475284195395,-9.19036581019406,-5.67143734103747,-5.00252624291771,-4.84714377110306,-4.59890334373562,-4.52219637544608,-4.36367605249109,7.725,-8.27284755145314,0.760654826,0.612927217
"6",6.94089944676549e-310,300,-18.4839175792266,-13.3524967883108,-9.59463202172393,-5.88596288509027,-5.04667357967115,-4.84976495330679,-4.60156941058732,-4.52223464450652,-4.36066817099775,7.725,-8.36877834213368,0.760654826,0.612927217
"7",6.94089944676549e-310,360,-17.9938445440401,-13.5791390169436,-9.9483387341861,-6.09987324258032,-5.09994958591613,-4.85465596462631,-4.6042323449843,-4.52227674957172,-4.357662579028,7.725,-8.44725172248445,0.760654826,0.612927217
"8",6.94089944676549e-310,420,-17.686700344006,-13.7475898164167,-10.2604145694482,-6.31071173517091,-5.16107929468991,-4.8620648966087,-4.60692254346549,-4.52232271069308,-4.35465927683054,7.725,-8.51144457839655,0.760654826,0.612927217
"9",6.94089944676549e-310,480,-13.3552716379619,-13.4895107701889,-10.5117903435804,-6.51631040782375,-5.22883316683559,-4.87216054451616,-4.60967243898639,-4.5223726338957,-4.35165826468586,7.725,-8.21583749057231,0.760654826,0.612927217
"10",6.94089944676549e-310,540,-2.29067659399737,-11.5522192628013,-10.5467789569134,-6.70923588793393,-5.30188294440894,-4.88503858714012,-4.61251551392474,-4.5224267149538,-4.34865954295097,7.725,-5.72881460920462,0.760654826,0.612927217
"11",6.94089944676549e-310,600,10.5588848935763,-7.3908971895812,-10.0446745147339,-6.86572316956615,-5.37804696261941,-4.90070662231775,-4.61548529723556,-4.52248524060142,-4.34566311210565,7.725,-1.98849410872663,0.760654826,0.612927217
"12",6.94089944676549e-310,660,16.7225117572504,-2.32027471329839,-8.83365307123612,-6.94600916604787,-5.45313965676425,-4.91901972464784,-4.61861390040497,-4.52254858648346,-4.34266897279842,7.725,1.90955544664428,0.760654826,0.612927217
"13",6.94089944676549e-310,720,21.2474122542156,1.67549330779665,-7.12341854455412,-6.91613572711722,-5.52081485371566,-4.93958320504729,-4.62192950497759,-4.52261720978011,-4.33967712589018,7.725,4.82356544267304,0.760654826,0.612927217
"14",6.94089944676549e-310,780,21.9040606594232,5.02733778405601,-5.17359095707151,-6.76447962421749,-5.57400398796459,-4.96169704691665,-4.62545285166733,-4.52269163351218,-4.33668757249205,7.725,5.89999999999964,0.760654826,0.612927217
"15",6.94089944676549e-310,840,17.9196394368965,6.65602100179262,-3.25245629390539,-6.49714993249394,-5.60637886648407,-4.98438184294537,-4.62919362303462,-4.52277242093825,-4.33370031399264,7.725,4.82356318013603,0.760654826,0.612927217
"16",6.94089944676549e-310,900,7.66587940292933,5.97781215460721,-1.73881634998621,-6.14310235038126,-5.6136021720349,-5.00646519061188,-4.63314762283481,-4.52286014109007,-4.33071535206996,7.725,1.90955158428471,0.760654826,0.612927217
