"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-12.8107123147826,-2.87344224746694,3.53676794286068,4.8939949129144,2.89887099082983,1.69525649020282,1.06697762967536,0.95836934430663,1.09114779401508,12.2625,-3.16655375540694,0.719233748,0.607538611
"2",6.94089944676549e-310,60,-12.8296756719009,-3.76019783695865,2.42856051003843,4.60787330023706,2.94890217243177,1.74184657454191,1.07472853275651,0.958833407653038,1.09399633911095,12.2625,-3.39214196481902,0.719233748,0.607538611
"3",6.94089944676549e-310,120,-12.7978198774066,-4.48060890291974,1.4506941441609,4.29127284718686,2.97253655119196,1.78696002897879,1.0829294150856,0.959321137249301,1.09684293375835,12.2625,-3.57283167069068,0.719233748,0.607538611
"4",6.94089944676549e-310,180,-12.5689582301276,-5.08619136243589,0.591060680204409,3.95600894278133,2.97177396243285,1.82942614823031,1.09154479583912,0.959833651277074,1.09968759209027,12.2625,-3.71755895893443,0.719233748,0.607538611
"5",6.94089944676549e-310,240,-12.5014157529757,-5.57966942486287,-0.165037072759689,3.61114588870798,2.94901046073702,1.86827529084144,1.10052592845902,0.960371945533364,1.10253032878176,12.2625,-3.83348137887174,0.719233748,0.607538611
"6",6.94089944676549e-310,300,-13.2035656742639,-5.93863144432747,-0.832396587300117,3.26363513220587,2.90680721344565,1.90273794812437,1.10981367808012,0.960936860576677,1.1053711589768,12.2625,-3.92633192286513,0.719233748,0.607538611
"7",6.94089944676549e-310,360,-12.6195116595569,-6.3004308044556,-1.41633749094783,2.91858545223135,2.84773721316347,1.93223354961545,1.1193412497256,0.961529057269735,1.10821009820028,12.2625,-4.00070255388306,0.719233748,0.607538611
"8",6.94089944676549e-310,420,-11.6341071175921,-6.50069865196385,-1.92479956721647,2.5800987573217,2.77428313339151,1.95635379723838,1.12903670641162,0.96214899943546,1.1110471622587,12.2625,-4.09941902021387,0.719233748,0.607538611
"9",6.94089944676549e-310,480,1.47196510060622,-5.21942203495494,-2.27394840598421,2.25316618186559,2.68882794227092,1.97484389364566,1.13882517618722,0.962796943535724,1.11388236713456,12.2625,-2.23790626349705,0.719233748,0.607538611
"10",6.94089944676549e-310,540,19.4644615810192,-0.513095817533631,-2.01740916949411,1.96106913087257,2.59426591442084,1.98759579961456,1.14863084248391,0.963472933962026,1.11671572887639,12.2625,1.17164766190547,0.719233748,0.607538611
"11",6.94089944676549e-310,600,34.8410235254439,6.76192186123455,-0.734289263501063,1.75794380369752,2.49593169767185,1.9947091366657,1.15837917205653,0.964176804106302,1.11954726348805,12.2625,5.33409295515935,0.719233748,0.607538611
"12",6.94089944676549e-310,660,42.1432222496358,14.3040294197054,1.64313316206621,1.7103982829217,2.402928462881,1.99663941361001,1.16800050781406,0.964908185298057,1.12237698682063,12.2625,9.27869631263331,0.719233748,0.607538611
"13",6.94089944676549e-310,720,46.383243692427,19.991988819044,4.65714974484861,1.86393250988082,2.32734697885245,1.99435127546192,1.17743567724223,0.965666528573019,1.12520491447203,12.2625,12.0855278424145,0.719233748,0.607538611
"14",6.94089944676549e-310,780,47.3992024416993,24.3871048163973,7.88381088694987,2.22500318733717,2.28143577413853,1.98936156437584,1.18664287378057,0.966451144187319,1.12803106170263,12.2625,13.0999999999997,0.719233748,0.607538611
"15",6.94089944676549e-310,840,42.484835164973,26.5669524390904,10.9116984025063,2.77203756104704,2.27529802842059,1.98364098301126,1.19560398806108,0.967261259916722,1.13085544337649,12.2625,12.085525433581,0.719233748,0.607538611
"16",6.94089944676549e-310,900,31.3995905456634,25.7493724322883,13.2510139872402,3.45039497034257,2.31507031189506,1.97942729618702,1.20432891390066,0.96809609425079,1.13367807393728,12.2625,9.27869205673574,0.719233748,0.607538611
"17",6.94089944676549e-310,960,14.1332156129371,21.9933899038319,14.4720262077153,4.1737105947701,2.40102190426481,1.97895738362875,1.21285681256278,0.968954937428108,1.13649896742474,12.2625,5.33408784472533,0.719233748,0.607538611
"18",6.94089944676549e-310,1020,-3.53724423367662,16.068621969894,14.4043890420955,4.84087976136979,2.52649182240044,1.98414050609668,1.22125342487897,0.969837230242054,1.13931813753331,12.2625,1.17164288875085,0.719233748,0.607538611
"19",6.94089944676549e-310,1080,-9.26844390535729,10.1798805130252,13.2343205607356,5.36488082530804,2.6786972267415,1.99624543349493,1.2296041819134,0.970742629182097,1.14213559770888,12.2625,-0.0076132588177984,0.719233748,0.607538611
"20",6.94089944676549e-310,1140,-10.6074334526204,6.1547137742456,11.5441436201391,5.70528045588972,2.84178806421258,2.01570681226041,1.23800403997785,0.97167104707145,1.1449513612734,12.2625,-0.86192094536807,0.719233748,0.607538611
"21",6.94089944676549e-310,1200,-11.3520567826496,3.35678989818825,9.75284228442719,5.8701570233256,3.0011299872023,2.04214178082975,1.24654631340453,0.972622663028097,1.1477654415627,12.2625,-1.54619697649997,0.719233748,0.607538611
"22",6.94089944676549e-310,1260,-11.89295797221,1.28200044031135,8.04102301927233,5.8876832655331,3.14565788884016,2.07454201177532,1.25531321467882,0.973597903011777,1.1505778520615,12.2625,-2.09428251307338,0.719233748,0.607538611
"23",6.94089944676549e-310,1320,-12.290880141953,-0.335543472921584,6.47297765224571,5.78925805574689,3.26813520714464,2.11151248804605,1.26436948956459,0.974597398178963,1.15338860652202,12.2625,-2.53328335737302,0.719233748,0.607538611
