"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-26.55166435159,-19.294539481447,-14.4451740922023,-12.4161624338111,-12.5082012218986,-12.4050059684877,-12.1335612720743,-12.0673288868334,-11.8925651643194,3,-15.5147865983964,0.741579287,0.590743603
"2",6.94089944676549e-310,60,-26.6662202564414,-19.8895087425013,-15.1452550699362,-12.586258380966,-12.5005212382684,-12.4032438002335,-12.1364793631279,-12.0673210551112,-11.8889510583191,3,-15.7634002187225,0.741579287,0.590743603
"3",6.94089944676549e-310,120,-26.7174073531542,-20.3850527091672,-15.7736501324016,-12.7778487726001,-12.5063386455858,-12.4016379701603,-12.1393222609969,-12.0673170611647,-11.8853395910857,3,-15.9673934707067,0.741579287,0.590743603
"4",6.94089944676549e-310,180,-26.6208951708636,-20.8099381407051,-16.3352694238664,-12.9840988028888,-12.5250365367473,-12.4008070130926,-12.142097181329,-12.0673167016432,-11.881730762568,3,-16.1347746737177,0.741579287,0.590743603
"5",6.94089944676549e-310,240,-26.7389727529873,-21.1552460142608,-16.8374745196022,-13.1994900060043,-12.5556972061504,-12.4012879820336,-12.1448183094529,-12.0673198025646,-11.8781245726201,3,-16.2721148398697,0.741579287,0.590743603
"6",6.94089944676549e-310,300,-27.1686083023976,-21.4256741101976,-17.2868418025571,-13.4196804371901,-12.5972265975696,-12.4035309272376,-12.1475056288303,-12.0673262362782,-11.8745210210208,3,-16.3848056372792,0.741579287,0.590743603
"7",6.94089944676549e-310,360,-26.2417860434932,-21.7416283009078,-17.6844852915729,-13.6413648819346,-12.6484458296699,-12.4078992103462,-12.1501837432397,-12.0673359350694,-11.8709201074998,3,-16.4772710549104,0.741579287,0.590743603
"8",6.94089944676549e-310,420,-26.3231205693522,-21.9432897240755,-18.0424263183518,-13.8618279235143,-12.7081615209994,-12.4146734588572,-12.152880749934,-12.0673489016651,-11.8673218317704,3,-16.5531410784993,0.741579287,0.590743603
"9",6.94089944676549e-310,480,-23.3379016629259,-21.8558085845806,-18.3461750567092,-14.0788816627429,-12.7752016220758,-12.4240579641806,-12.1556271894279,-12.0673652168947,-11.8637261935666,3,-16.4076141011327,0.741579287,0.590743603
"10",6.94089944676549e-310,540,-11.0865743806518,-20.1283731315627,-18.4703652934135,-14.2867021419922,-12.8483366296768,-12.43618642783,-12.1584551078441,-12.067385044537,-11.8601331926829,3,-13.7114677080244,0.741579287,0.590743603
"11",6.94089944676549e-310,600,3.0867207489339,-15.7944332455141,-18.0514547048417,-14.4631984378278,-12.9256375641598,-12.4511123592408,-12.1613971303551,-12.0674086338212,-11.8565428290162,3,-9.44242203069194,0.741579287,0.590743603
"12",6.94089944676549e-310,660,11.0973100202659,-10.2835516049487,-16.8717104110599,-14.5671054440799,-13.0031954511801,-12.4687508886088,-12.1644851683706,-12.0674363190743,-11.8529551026084,3,-4.90142076771883,0.741579287,0.590743603
"13",6.94089944676549e-310,720,16.3264187598286,-5.61060143050744,-15.0916623687681,-14.5598267682658,-13.0747602048445,-12.4887793374125,-12.1677481323101,-12.0674685147293,-11.8493700136873,3,-1.47228302642736,0.741579287,0.590743603
"14",6.94089944676549e-310,780,17.0937311339294,-1.7661825382282,-12.9870251877918,-14.4233522989091,-13.1329666603069,-12.5105682319146,-12.1712085752838,-12.0675057027723,-11.8457875627036,3,-0.200000000000387,0.741579287,0.590743603
"15",6.94089944676549e-310,840,12.5216605424838,0.0797685758919124,-10.8812260388098,-14.1604841501207,-13.1708733824897,-12.5331884763725,-12.1748790166495,-12.0675484106885,-11.842207750359,3,-1.47228564400257,0.741579287,0.590743603
"16",6.94089944676549e-310,900,1.23760375723257,-0.654217425444042,-9.21102445446062,-13.8006357365618,-13.1834689905551,-12.5554880711988,-12.1787588588307,-12.067597180328,-11.8386305776213,3,-4.9014252051926,0.741579287,0.590743603
"17",6.94089944676549e-310,960,-14.4035791001159,-3.92827942570674,-8.34051834394905,-13.3991817706506,-13.1692794898105,-12.5762387940835,-12.1828327358686,-12.0676525304247,-11.8350560457223,3,-9.442426935794,0.741579287,0.590743603
"18",6.94089944676549e-310,1020,-21.8764249001167,-8.27066076310911,-8.39953968242001,-13.0240930838854,-13.1312936899199,-12.5943353324644,-12.1870710525023,-12.0677149176687,-11.8314841561363,3,-11.3680212932668,0.741579287,0.590743603
"19",6.94089944676549e-310,1080,-23.5745532997264,-11.6308549745353,-9.08596346572197,-12.7275623469549,-13.0763590376819,-12.6089916461643,-12.1914330111269,-12.0677847026393,-11.8279149105401,3,-12.3608829362856,0.741579287,0.590743603
"20",6.94089944676549e-310,1140,-24.4502946337698,-13.9099466253846,-10.0416507097621,-12.5283629957181,-13.0127937855456,-12.6198479426962,-12.1958715219545,-12.0678621267098,-11.8243483107593,3,-13.1755489833998,0.741579287,0.590743603
"21",6.94089944676549e-310,1200,-25.1119030846152,-15.5599718066435,-11.0616871947634,-12.4227731834777,-12.9482027047937,-12.6269535780285,-12.2003385477962,-12.0679473029618,-11.820784358706,3,-13.8440014037216,0.741579287,0.590743603
"22",6.94089944676549e-310,1260,-25.6247113724104,-16.8267738510739,-12.0545838519885,-12.3981330518473,-12.8885404111413,-12.6306773879576,-12.2047896214804,-12.0680402204341,-11.8172230563154,3,-14.3924821460049,0.741579287,0.590743603
