"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","Tair","dorsal_absorptance","ventral_absorptance"
"1",6.94089944676549e-310,0,-42.205667641536,-38.7001770186224,-36.0225759778116,-33.0554515575695,-31.1913723835697,-29.945493333093,-29.0028314224512,-28.8298009825375,-28.5874571175685,-6.74166666666667,-30.4721695532124,0.783307071,0.706782626
"2",6.94089944676549e-310,60,-42.2711175205523,-38.8946958231778,-36.2268379730813,-33.1320565745738,-31.2340944310787,-29.9809835614079,-29.0128708307523,-28.8300001659175,-28.5824799061418,-6.74166666666667,-30.6647789735016,0.783307071,0.706782626
"3",6.94089944676549e-310,120,-42.30809535807,-39.0591707388077,-36.4170663878035,-33.2140736341081,-31.2786765348564,-30.0162637093422,-29.0231431588744,-28.8302189576422,-28.5775061694953,-6.74166666666667,-30.8271738076636,0.783307071,0.706782626
"4",6.94089944676549e-310,180,-42.2836227590685,-39.2022124222455,-36.5926048088827,-33.3000301059481,-31.3251638120839,-30.0514368444575,-29.0336426199789,-28.8304578626328,-28.5725359145495,-6.74166666666667,-30.9640938094106,0.783307071,0.706782626
"5",6.94089944676549e-310,240,-42.3694950609391,-39.3168021755274,-36.7541794471451,-33.3886264093392,-31.3735139759767,-30.0865989329101,-29.0443646740886,-28.8307173711019,-28.5675691484511,-6.74166666666667,-31.0795352086099,0.783307071,0.706782626
"6",6.94089944676549e-310,300,-42.4718355526629,-39.4122364119656,-36.9021585837906,-33.4787689965948,-31.423619966201,-30.1218359572471,-29.0553059067494,-28.8309979615773,-28.5626058785664,-6.74166666666667,-31.1768673476624,0.783307071,0.706782626
"7",6.94089944676549e-310,360,-41.9781490579506,-39.5309563808574,-37.0356983856813,-33.5695640585846,-31.4753295026704,-30.1572222174856,-29.0664638834932,-28.8313001035588,-28.557646112476,-6.74166666666667,-31.2589310211645,0.783307071,0.706782626
"8",6.94089944676549e-310,420,-42.132234479303,-39.5932525258747,-37.1589922083657,-33.6602022314884,-31.5284624044868,-30.1928195063237,-29.0778369930711,-28.8316242597929,-28.5526898579717,-6.74166666666667,-31.3281213890555,0.783307071,0.706782626
"9",6.94089944676549e-310,480,-41.9283144503084,-39.6588893581231,-37.2701473013656,-33.7500990452761,-31.5828203984744,-30.2286769993546,-29.0894242884331,-28.8319708881416,-28.5477371230531,-6.74166666666667,-31.3864578832021,0.783307071,0.706782626
"10",6.94089944676549e-310,540,-41.3146896128235,-39.6506288873724,-37.3673695500085,-33.8386530400765,-31.6381973856283,-30.26483156091,-29.1012253316156,-28.8323404430606,-28.5427879159256,-6.74166666666667,-31.4889446115668,0.783307071,0.706782626
"11",6.94089944676549e-310,600,-36.7288522877132,-39.101396055629,-37.4187943335398,-33.9245412767115,-31.694364088456,-30.3013080716866,-29.1132400464046,-28.8327333766877,-28.537842244999,-6.74166666666667,-29.3842879362129,0.783307071,0.706782626
"12",6.94089944676549e-310,660,-32.3339149264139,-37.6379195138045,-37.2980179935557,-34.0015201506675,-31.7509093041476,-30.3381166868008,-29.1254685658782,-28.8331501395621,-28.5329001188866,-6.74166666666667,-25.9736119958219,0.783307071,0.706782626
"13",6.94089944676549e-310,720,-28.9449790035627,-36.1040011147338,-36.967210488662,-34.0579759019404,-31.8068686400819,-30.3752374209143,-29.1379109879472,-28.8335911808811,-28.5279615464041,-6.74166666666667,-22.9163544479029,0.783307071,0.706782626
"14",6.94089944676549e-310,780,-27.8444761304257,-34.5458947419391,-36.4650351069691,-34.0844049316062,-31.8607084925954,-30.4125954303108,-29.1505668892717,-28.8340569478699,-28.5230265365687,-6.74166666666667,-21.7000000000002,0.783307071,0.706782626
"15",6.94089944676549e-310,840,-31.2467165688873,-33.7407401640495,-35.8874704616445,-34.0760031457019,-31.9106180716176,-30.4500456202631,-29.1634346069051,-28.8345478836328,-28.5180950985981,-6.74166666666667,-22.9163563790879,0.783307071,0.706782626
"16",6.94089944676549e-310,900,-37.3502207678868,-34.220167157752,-35.4246444072276,-34.0379005215187,-31.9549937651972,-30.4873748764729,-29.1765104511512,-28.8350644231012,-28.5131672419067,-6.74166666666667,-25.973614918589,0.783307071,0.706782626
"17",6.94089944676549e-310,960,-39.5681790916482,-35.4286474464358,-35.2220563155549,-33.9861762468217,-31.9931221573792,-30.5243310403169,-29.1897881040945,-28.8356069872109,-28.5082429761011,-6.74166666666667,-26.8918178602129,0.783307071,0.706782626
"18",6.94089944676549e-310,1020,-40.3102526729341,-36.3714380143628,-35.2351462164013,-33.9380168257432,-32.0254922602642,-30.5606743886623,-29.2032585058899,-28.8361759761609,-28.5033223109716,-6.74166666666667,-27.6460760536081,0.783307071,0.706782626
"19",6.94089944676549e-310,1080,-40.7983894660567,-37.0432862070448,-35.3670090699124,-33.9029909629775,-32.0533725861583,-30.596222383827,-29.2169103239729,-28.8367717631603,-28.4984052564808,-6.74166666666667,-28.282013974234,0.783307071,0.706782626
