"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ82391","10449.278","3748.016","390053","555.397","24.675","0.029","19033.819","388.445","104.633","4030.003","1166.011","6607.835","2269.564","10437.835","3756.999","12899.506","4647.716","10449.278","3748.016"
"MVZ63384","5638.475","2694.753","571317","423.695","32","0.031","13712.116","279.839","96.47","2043.644","917.481","3548.249","1566.198","5794.669","2700.976","6839.618","3348.539","5638.475","2694.753"
"MVZ63386","7352.806","3463.18","523216","508.202","34.896","0.03","16912.897","345.161","96.272","2588.998","1088.149","4660.438","2204.81","7489.075","3519.161","8898.064","4096.25","7352.806","3463.18"
"MVZ102726","10763.427","4487.676","346039","595.181","29.344","0.029","20515.746","418.689","108.99","4464.153","1745.895","7540.45","3256.122","10903.92","4550.275","12499.579","5047.249","10763.427","4487.676"
"MVZ102727","12654.56","3925.476","335437","448.751","29.344","0.025","17882.618","364.951","58.123","5255.351","1656.925","8487.392","2936.862","12667.527","4014.11","15173.9","4382.014","12654.56","3925.476"
"MVZ140817","12070.473","4095.782","425318","550.941","26.909","0.027","20057.876","409.344","88.701","4207.638","1401.034","7600.778","2672.066","12195.339","4169.319","14551.796","4817.323","12070.473","4095.782"
"MVZ162726","10136.011","3441.001","340756","469.803","22.627","0.027","17441.986","355.959","71.296","4212.486","1335.346","6926.171","2380.886","10191.251","3489.335","12071.092","4039.104","10136.011","3441.001"
"MVZ162727","14414.111","3534.654","370086","445.546","22.627","0.026","17449.13","356.105","58.3","5895.433","1551.08","9172.109","2516.257","14227.345","3591.574","17946.746","4122.478","14414.111","3534.654"
"MVZ162729","12533.017","5517.169","338163","686.508","24.675","0.026","26265.421","536.029","126.858","5481.709","2417.488","8860.594","4002.46","12653.464","5567.981","14527.983","6268.927","12533.017","5517.169"
"MVZ162730","11011.128","4514.157","369764","616.659","29.344","0.028","22199.438","453.05","111.715","4155.565","1526.244","7210.263","2913.755","11102.361","4573.091","13194.115","5324.626","11011.128","4514.157"
"MVZ19502","10192.658","3907.83","494500","543.535","24.675","0.028","19485.079","397.655","101.28","4075.331","1609.952","6952.891","2766.8","10326.447","3917.384","11976.504","4560.354","10192.658","3907.83"
"MVZ22501","11974.484","3775.07","307370","448.786","22.627","0.025","17744.414","362.131","60.217","5260","1751.074","7828.653","2785.478","11959.748","3881.594","14577.045","4165.477","11974.484","3775.07"
"MVZ22502","12258.643","4904.38","393494","622.909","26.909","0.028","22398.679","457.116","102.853","4604.497","1659.741","8029.173","3206.97","12368.006","4965.748","14618.963","5767.171","12258.643","4904.38"
"MVZ24550","10796.415","3518.136","400747","498.193","29.344","0.03","16854.972","343.979","91.196","5117.774","1883.777","7570.238","2748.698","10876.082","3534.218","12686.033","3953.086","10796.415","3518.136"
"MVZ29153","10002.737","2839.981","411549","304.86","24.675","0.024","12479.241","254.678","29.08","4203.079","1254.818","6811.234","2163.679","10047.568","2961.929","11954.567","3043.311","10002.737","2839.981"
"MVZ29166","9216.437","3248.413","471955","373.485","32","0.027","13801.061","281.654","54.252","3775.559","1423.729","6234.654","2378.075","9276.31","3316.64","11034.179","3651.106","9216.437","3248.413"
"MVZ29169","10466.374","4376.334","453930","688.693","29.344","0.032","21689.811","442.649","155.596","4131.153","1653.918","7015.791","2899.14","10611.77","4413.644","12345.981","5130.018","10466.374","4376.334"
"MVZ29170","9514.976","3714.826","407989","506.624","29.344","0.028","18420.163","375.922","84.019","3917.992","1567.368","6440.204","2597.269","9642.011","3769.27","11241.58","4278.257","9514.976","3714.826"
"MVZ29172","10288.723","3072.881","377757","369.62","29.344","0.026","14065.405","287.049","48.239","3918.77","1268.98","6728.981","2106.162","10339.062","3120.182","12438.423","3591.099","10288.723","3072.881"
"MVZ29173","9615.239","3117.095","503759","394.297","26.909","0.027","14430.249","294.495","58.375","3672.117","1272.944","6466.025","2225.94","9734.429","3195.45","11392.128","3528.895","9615.239","3117.095"
"MVZ29177","12194.778","4821.685","454402","641.129","32","0.028","22774.761","464.791","121.856","4845.938","2056.665","8347.054","3461.913","12333.383","4880.858","14263.019","5516.339","12194.778","4821.685"
"MVZ82393","12111.308","5078.098","425368","666.977","29.344","0.029","23221.803","473.914","120.395","4647.632","1819.452","8108.286","3483.777","12254.17","5161.06","14266.288","5805.163","12111.308","5078.098"
"MVZ82394","11320.543","4136.597","464355","498.496","26.909","0.026","19176.443","391.356","64.331","4581.615","1672.531","7555.626","2980.777","11336.087","4225.884","13632.053","4704.635","11320.543","4136.597"
"MVZ139540","7322.762","3240.412","424073","510.544","29.344","0.031","16597.539","338.725","102.158","2808.399","1067.272","4626.772","1987.852","7416.67","3256.244","8966.843","3944.612","7322.762","3240.412"
