"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"MVZ163234","100.6","165.66","46","6685.64","313.06","-44.44","357.5","23.2","186.56","189.36","19.56","605.1","103.46","8.2","65.16","291.62","39.98","42.86","279"
"MVZ163237","102.12","166.38","46","6711.66","315.42","-43.36","358.78","24.24","188.22","191.14","20.64","601.34","103.16","8.08","65.38","290.62","39.6","42.52","278.34"
"MVZ163239","99.94","165.34","45.98","6672.02","312","-44.9","356.9","22.74","185.74","188.52","19.1","604.38","103.08","8.22","64.98","290.76","39.96","42.88","278.08"
"MVZ163242","99.98","165.38","46","6673.26","312.04","-44.88","356.92","22.72","185.76","188.58","19.12","603.02","102.76","8.18","64.96","290.14","39.82","42.74","277.5"
"MVZ163243","101.12","165.86","46","6691.48","313.78","-44","357.78","23.6","187.1","189.94","20","606.02","103.72","8.16","65.22","292.24","39.86","42.78","279.72"
"MVZ163247","97.44","166.68","46","6698.2","310.76","-47.44","358.2","19.38","183.58","185.88","16.3","540.24","94.1","9","63.08","260.74","41.36","44.98","246.38"
"MVZ163249","98.1","167.42","46","6716.6","312.4","-47.06","359.46","19.9","184.5","186.88","16.78","533.08","93.42","8.98","63.28","258.16","41.22","44.92","244.08"
"MVZ163250","98.1","166.88","46","6708.12","311.94","-46.88","358.82","19.92","184.44","186.66","16.8","537.86","93.82","9","63.12","259.8","41.3","45.02","245.54"
"MVZ163251","97.82","166.94","46","6705.88","311.66","-47.16","358.82","19.74","184.14","186.4","16.62","536.84","93.64","9","63.12","259.32","41.32","45","245.06"
"MVZ163254","98.38","167.16","46","6716","312.6","-46.72","359.32","20.2","184.84","187.1","17","535.84","93.62","9","63.26","259.14","41.2","44.9","245.08"
"MVZ149571","161.42","178.58","51","6034.14","327.54","-20.7","348.24","223.9","95.54","234.12","81.14","366.18","89.54","4.06","101.76","248.42","18.72","209.68","21.72"
"MVZ149572","161.58","178.6","51","6036","327.76","-20.56","348.32","224.1","95.72","234.32","81.32","365.2","89.36","4.04","101.68","247.76","18.68","209.12","21.68"
"MVZ58954","144.7","181.24","49","6695.14","332.3","-33.42","365.72","220.46","184.62","229.96","59.56","372.94","83.98","5.1","73.82","201.86","26.98","170.74","74.94"
"MVZ67284","55.48","164.88","48.08","6286.02","233.78","-105.06","338.84","132.7","81.72","138.64","-21.64","661.64","113.14","17.98","53.32","295.1","66.86","249.18","149.88"
"MVZ67286","55.36","164.72","48.04","6281.84","233.54","-105.08","338.62","132.52","81.52","138.48","-21.7","663.36","113.34","18","53.26","295.6","66.96","249.64","150.52"
"MVZ71116","90.06","163.14","42.9","7652.64","285.2","-90.8","376","181.18","-6.12","189.62","-6.12","407.3","75.72","19.4","55.82","193.4","59.84","179.4","59.84"
"MVZ71117","90.44","163.18","42.82","7667.76","285.9","-90.46","376.36","181.8","-5.92","190.24","-5.92","405.2","75.38","19.28","55.82","192.48","59.48","178.48","59.48"
"MVZ71118","91.8","163.42","42.84","7709.34","287.78","-89.62","377.4","183.62","-5.04","192.16","-5.04","398.86","74.32","18.94","55.94","189.86","58.32","175.86","58.32"
"MVZ71119","90.7","163.3","42.9","7675.16","286.22","-90.38","376.6","182.1","-5.74","190.54","-5.74","404.16","75.22","19.26","55.98","192.04","59.34","178.04","59.34"
"MVZ71120","90.04","163.04","42.82","7653.16","285.3","-90.7","376","181.22","-6.18","189.56","-6.18","407.36","75.7","19.36","55.68","193.28","59.8","179.28","59.8"
"MVZ71121","90.16","163.16","42.9","7654","285.38","-90.7","376.08","181.3","-6.02","189.78","-6.02","407.18","75.68","19.38","55.7","193.32","59.8","179.32","59.8"
"MVZ82390","115.22","199.08","52","6858.04","311.36","-67.82","379.18","199.86","145.74","205.8","30.34","444.26","80.76","11.2","60.44","214.9","38.82","176.04","98.84"
"MVZ87783","117.4","156.92","39.94","8289.16","329.7","-61.06","390.76","219.12","155.6","226.36","13.56","227.28","30.38","8.34","28.7","72.4","34.24","61.94","62.38"
"MVZ87784","116.86","156.9","39.98","8277.36","328.98","-61.48","390.46","218.46","154.84","225.6","13.1","229.88","30.7","8.42","28.88","73.2","34.52","62.62","63.1"
"MVZ87785","117.96","157.28","39.96","8285.8","330.4","-60.72","391.12","219.68","156","226.88","14.12","226.88","30.24","8.24","28.88","72.16","34.2","61.56","62.48"
"MVZ87786","120.04","157.16","39.86","8333.4","332.94","-59","391.94","222.26","158.76","229.42","15.5","218.7","29.46","8.12","28.6","70.06","33.08","59.94","59.7"
"MVZ87788","118.04","157.28","39.96","8289.32","330.54","-60.6","391.14","219.8","156.18","226.96","14.14","227.1","30.3","8.34","28.84","72.3","34.22","61.8","62.38"
"MVZ22707","160.32","150.42","45.16","6379.66","350.42","20.72","329.7","80.08","241.12","241.12","80.08","518.7","106.7","1","83.42","272","10.62","10.62","272"
"MVZ22708","160.36","150.22","45.08","6378.24","350.36","20.78","329.58","80.06","241.06","241.06","80.06","521.98","107.44","1","83.62","273.86","10.72","10.72","273.86"
"MVZ22709","159.98","150.22","45.12","6380.3","350.12","20.54","329.58","79.84","240.82","240.82","79.84","525.38","108.06","1","83.52","275.64","10.68","10.68","275.64"
"MVZ22710","159.48","148.54","44.62","6388.92","349.88","20.86","329.02","79.84","240.84","240.84","79.84","572.08","117.36","1","83.78","300.12","10.48","10.48","300.12"
"MVZ22711","160","148.72","44.7","6384.04","350.52","21.3","329.22","80.3","241.26","241.26","80.3","562.44","115.42","1","83.9","295.1","10.3","10.3","295.1"
"MVZ22714","160","149.24","44.8","6381.34","350.52","21.2","329.32","80.2","241.1","241.1","80.2","551.06","113.06","1","83.84","289.14","10.18","10.18","289.14"
"MVZ22719","158.46","140.54","42.32","6464.5","346","20.2","325.8","79.84","242.26","242.26","79.18","949.7","191.24","1.06","83.34","488.16","16.52","16.52","487.62"
"MVZ22720","158.06","139.98","42.32","6459.7","345.16","20.04","325.12","80.4","241.82","241.82","78.86","972.78","195.4","1.14","83.3","500.16","16.84","16.84","498.9"
"MVZ22721","159.06","141.08","42.5","6474.12","346.82","20.1","326.72","80.72","242.9","242.9","79.6","934.04","188.18","1.2","83.14","480.84","16.56","16.56","479.58"
"MVZ22722","158.04","140.02","42.3","6457.08","345.16","20.02","325.14","80.58","241.8","241.8","78.92","970.32","194.88","1.14","83.18","498.96","16.78","16.78","497.64"
"MVZ22724","157.64","139.76","42.26","6452.02","344.6","20.02","324.58","80.46","241.46","241.46","78.66","983.62","197.32","1.12","83.2","505.5","16.92","16.92","504.18"
"MVZ22727","156.78","139.1","42.22","6437.92","343.08","19.74","323.34","80.78","240.48","240.48","78.26","1014.9","203.08","1.24","83.18","521.66","17.4","17.4","519.56"
"MVZ22729","158","140.02","42.28","6456.16","345.1","20.04","325.06","80.7","241.76","241.76","78.88","970.62","194.94","1.1","83.16","499.02","16.76","16.76","497.82"
"MVZ64579","157.72","139.94","42.3","6448.1","344.58","19.98","324.6","80.76","241.34","241.34","78.88","976.64","196.04","1.16","83.08","502.2","16.88","16.88","500.7"
"MVZ64581","157.12","139.36","42.2","6440.2","343.62","19.96","323.66","80.6","240.76","240.76","78.44","999.02","200.18","1.12","83.18","513.32","17.08","17.08","511.82"
"MVZ64583","157.4","139.72","42.28","6445.56","344.16","19.84","324.32","80.76","241.12","241.12","78.7","988.94","198.28","1.22","83.08","508.52","17.08","17.08","506.72"
"MVZ64587","156.9","139.16","42.18","6437.52","343.24","19.94","323.3","80.68","240.56","240.56","78.28","1008.06","201.82","1.12","83.2","517.88","17.2","17.2","516.26"
"MVZ64590","157.6","139.62","42.22","6446.3","344.32","20.06","324.26","80.76","241.22","241.22","78.68","983.38","197.26","1.08","83.14","505.44","16.84","16.84","504.12"
"MVZ64592","157.48","139.72","42.28","6445.46","344.14","20","324.14","80.82","241.12","241.12","78.68","986.84","197.9","1.14","83.14","507.28","17.02","17.02","505.72"
"MVZ64593","157.54","139.66","42.24","6444.7","344.18","20.12","324.06","80.76","241.12","241.12","78.66","984.28","197.44","1.06","83.16","505.8","16.88","16.88","504.54"
"MVZ162699","66.88","165.66","45","6676.76","278.3","-85.5","363.8","-5.92","153.32","154.7","-14.3","609.1","100.48","9.18","62.42","274.28","42.74","43.66","271.7"
"MVZ162700","67.28","165.68","45","6678.14","278.68","-85.22","363.9","-5.86","153.7","154.84","-14.22","609.28","100.78","9.22","62.52","274.52","42.86","43.66","272.2"
"MVZ162701","67.12","165.88","45","6684.9","278.82","-85.5","364.32","-5.94","153.58","155.02","-14.3","602.78","99.48","9.16","62.24","271.3","42.56","43.48","268.84"
"MVZ162702","67.56","166.34","45","6687.72","279.6","-85.34","364.94","-5.78","153.84","155.4","-14","598.2","98.82","9.08","62.16","269.24","42.26","43.26","266.88"
"MVZ162703","67.32","166.28","45","6689.2","279.32","-85.62","364.94","-5.9","153.66","155.24","-14.2","596.18","98.34","9.08","61.94","268.02","42.3","43.3","265.62"
"MVZ162704","67.28","166.02","45","6681.04","279","-85.36","364.36","-5.8","153.62","155.1","-14.12","604.46","99.88","9.08","62.26","272.26","42.46","43.38","269.8"
"MVZ162708","67.36","166.18","45","6686.46","279.34","-85.52","364.86","-5.9","153.62","155.24","-14.14","598.56","98.78","9.1","62.04","269.22","42.4","43.36","266.86"
"MVZ162711","67.2","166","45","6681.34","278.86","-85.44","364.3","-5.9","153.56","154.98","-14.2","604.48","99.78","9.16","62.32","272.14","42.56","43.48","269.68"
