"","CONUS_005cm.1","CONUS_005cm.2","CONUS_005cm.3","CONUS_005cm.4"
"MVZ74245",161.96,118,74.6,255
"MVZ74248",164.82,126.88,88.04,255
"MVZ74249",163.46,121.72,79.8,255
"MVZ74251",161,112.7,65.8,255
"MVZ74252",165,126.82,87.92,255
"MVZ74253",164.5,131.24,95.92,255
"MVZ74254",166.04,130.74,93.28,255
"MVZ74255",164.48,127.02,88.34,255
"MVZ74457",162.28,123.56,83.68,255
"MVZ8090",163,112,63,255
"MVZ852",126.06,112.7,88.08,255
"MVZ853",124.36,111.88,87.82,255
"MVZ854",124.26,111.34,90.08,255
"MVZ855",127.38,114.34,89.8,255
"MVZ961",125.16,113.02,89.02,255
"MVZ966",127.62,114.2,89.64,255
"MVZ102733",133.36,104.74,69.6,255
"MVZ102734",129.36,104.02,70.08,255
"MVZ163175",74.12,61.24,48.38,255
"MVZ163176",70.54,57.88,45.34,255
"MVZ163177",69.28,56.52,43.74,255
"MVZ163179",67.1,54.12,41.28,255
"MVZ163180",71.6,58.36,45.14,255
"MVZ163216",70.54,56.96,43.14,255
"MVZ163217",71.48,58.24,45.08,255
"MVZ163218",70.48,57.94,45.56,255
"MVZ163219",68.34,55.54,42.9,255
"MVZ163220",70.48,57.94,45.56,255
"MVZ163234",88.74,71.62,52.38,255
"MVZ163237",89.32,72.06,52.9,255
"MVZ163239",88.78,71.08,51.1,255
"MVZ163242",88.84,71.6,52.14,255
"MVZ163243",89.04,70.88,50.78,255
"MVZ163247",80.08,60.42,40.36,255
"MVZ163249",75.92,58.74,41.84,255
"MVZ163250",81.7,62.4,42.64,255
"MVZ163251",82.14,64.16,45.64,255
"MVZ163254",81.94,62.96,43.58,255
"MVZ149571",NA,NA,NA,NA
"MVZ149572",NA,NA,NA,NA
"MVZ58954",102.98,65.72,49.68,255
"MVZ67284",99.74,77.96,56.96,255
"MVZ67286",103.64,79.92,59.1,255
"MVZ71116",104.96,77.3,55.06,255
"MVZ71117",107.52,79.12,56.24,255
"MVZ71118",107.72,79.02,56.34,255
"MVZ71119",106.54,78.82,56.7,255
"MVZ71120",103.7,77.02,56.42,255
"MVZ71121",103.88,77.1,55.88,255
"MVZ82390",85.06,69.98,54.02,255
"MVZ87783",167.22,114.7,77.92,255
"MVZ87784",167.6,115.3,77.6,255
"MVZ87785",169.32,119.02,84.02,255
"MVZ87786",166.94,114.8,78.22,255
"MVZ87788",166.84,116.38,80.14,255
"MVZ22707",89.48,70.86,49.68,255
"MVZ22708",88.38,70.5,50.24,255
"MVZ22709",90.3,71.88,50.9,255
"MVZ22710",88.96,71.56,52.08,255
"MVZ22711",87.78,70.62,51.44,255
"MVZ22714",87.44,70.1,50.62,255
"MVZ22719",108.46,76.22,52.48,255
"MVZ22720",116.62,78.6,51.1,255
"MVZ22721",108.8,75.5,50.08,255
"MVZ22722",114.1,77.54,50.54,255
"MVZ22724",111.9,77.78,52.22,255
"MVZ22727",116.94,79.96,52.52,255
"MVZ22729",107.62,76.68,52.88,255
"MVZ64579",110.72,76.92,50.98,255
"MVZ64581",105.7,75.36,52.4,255
"MVZ64583",108.78,76.3,51.04,255
"MVZ64587",111.68,78.58,53.56,255
"MVZ64590",112.36,79.78,54.02,255
"MVZ64592",106.48,75.06,50.94,255
"MVZ64593",105.56,75.42,52.78,255
"MVZ162699",69.48,55.86,41.74,255
"MVZ162700",74.76,61,45.32,255
"MVZ162701",72.26,59.38,43.74,255
