"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ132294",13.1666666666667,54,27.7666666666667,18.2333333333333,1.339000014,13.7333333333333,14.342666582,1.20566668006667,11.7,13.2333333333333,17.5333333333333,16.2666666666667,77.7,6.56666666666667,1.66666666666667,6.61666658733333,33.3,3.53333333333333,0.766666666666667
"MVZ132295",14.4,55.85,26.75,17.4,1.485500002,13.65,7.981500053,0.8595000111,10.05,13.7,23.1,22.3,94.7,0,2,7.3399999625,49.95,2.9,1
"MVZ162686",10.9,50.575,30.7,18.725,1.3605000025,15.4,12.223249868,1.11075000535,11,14.075,26.825,26.3,84.225,4.925,6.75,7.15999989525,61.875,14.2,1.975
"MVZ162687",10.9,50.575,30.7,18.725,1.3605000025,15.4,12.223249868,1.11075000535,11,14.075,26.825,26.3,84.225,4.925,6.75,7.15999989525,61.875,14.2,1.975
"MVZ162689",10.9,50.575,30.7,18.725,1.3605000025,15.4,12.223249868,1.11075000535,11,14.075,26.825,26.3,84.225,4.925,6.75,7.15999989525,61.875,14.2,1.975
"MVZ162691",10.9,50.575,30.7,18.725,1.3605000025,15.4,12.223249868,1.11075000535,11,14.075,26.825,26.3,84.225,4.925,6.75,7.15999989525,61.875,14.2,1.975
"MVZ165396",11.48,52.22,29.58,18.2,1.3842000012,15.06,11.1007998878,1.03680000598,10.78,13.7,26.48,25.76,86.04,3.94,5.86,7.231999903,62.66,12.3,1.78
"MVZ165398",10.9,50.575,30.7,18.725,1.3605000025,15.4,12.223249868,1.11075000535,11,14.075,26.825,26.3,84.225,4.925,6.75,7.15999989525,61.875,14.2,1.975
"MVZ165400",11.48,52.22,29.58,18.2,1.3842000012,15.06,11.1007998878,1.03680000598,10.78,13.7,26.48,25.76,86.04,3.94,5.86,7.231999903,62.66,12.3,1.78
"MVZ165401",11.48,52.22,29.58,18.2,1.3842000012,15.06,11.1007998878,1.03680000598,10.78,13.7,26.48,25.76,86.04,3.94,5.86,7.231999903,62.66,12.3,1.78
"MVZ165402",11.48,52.22,29.58,18.2,1.3842000012,15.06,11.1007998878,1.03680000598,10.78,13.7,26.48,25.76,86.04,3.94,5.86,7.231999903,62.66,12.3,1.78
"MVZ180084",12.4,45.55,33.3,21.15,1.45450000875,16.55,9.311250041,0.9897499994,10.3,17,33.2,32.075,95.55,0,6.875,7.65249995075,70.95,13.725,2.1
"MVZ180088",12.4,45.55,33.3,21.15,1.45450000875,16.55,9.311250041,0.9897499994,10.3,17,33.2,32.075,95.55,0,6.875,7.65249995075,70.95,13.725,2.1
