"","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved"
"MVZ102726","0.12613417334858656","0.21409448600927738","0.30793869453655587","0.3518326461055801","-0.12386582665141344","-0.03590551399072259","0.05793869453655588","0.10183264610558018","0.08434705258643023","0.017660082708596026","-0.12386582665141344","0.20639259253314063","-0.9629482341453008","0.1508941576514163","0.304551630039306","0.49546330660565374"
"MVZ102727","0.12705652292956457","0.20476872241400224","0.3043686443663575","0.36380611029007565","-0.12294347707043543","-0.045231277585997716","0.05436864436635752","0.11380611029007566","0.09739011258036791","0.014199572503477906","-0.12294347707043543","0.1447808048966769","-0.8957328775137521","0.15748511181018648","0.3202388519562568","0.4917739082817417"
"MVZ140817","0.10996604105401138","0.19763907416605167","0.31605370788518533","0.3763411768947517","-0.14003395894598863","-0.05236092583394836","0.06605370788518537","0.12634117689475163","0.10943224191193411","0.02055105616864125","-0.14003395894598863","0.18563493103584133","-0.8990318114190762","0.17890576049307508","0.31939709810332395","0.5601358357839545"
"MVZ162726","0.12635060861455621","0.20756226887599327","0.30501211082457047","0.36107501168488","-0.12364939138544379","-0.042437731124006756","0.055012110824570484","0.11107501168488007","0.09400697222422005","0.014632493348041094","-0.12364939138544379","0.15441418783087763","-0.9149785759292371","0.156014719428445","0.3154377018769769","0.4945975655417751"
"MVZ162727","0.1256015247521169","0.19452590784767143","0.30084223598487786","0.3790303314153339","-0.12439847524788311","-0.05547409215232854","0.05084223598487785","0.12903033141533385","0.11298542325677796","0.009944832044868226","-0.12439847524788311","0.08779246590629007","-0.8315188170692169","0.16834365505391669","0.33831535056693024","0.4975939009915325"
"MVZ162729","0.13071700198396116","0.21420410230775191","0.305659422053736","0.3494194736545509","-0.11928299801603884","-0.03579589769224812","0.05565942205373597","0.09941947365455098","0.08280216629515069","0.01686282376797989","-0.11928299801603884","0.20090458464324543","-0.9544453940069414","0.1461813503299722","0.30637507599850194","0.4771319920641553"
"MVZ162730","0.11562841774236077","0.20258369127160572","0.31198226615429214","0.36980562483174123","-0.1343715822576392","-0.04741630872839429","0.061982266154292136","0.11980562483174137","0.10240210275598062","0.018234592559942767","-0.13437158225763923","0.17622146205005337","-0.9120678871448676","0.16992472784469903","0.31614706954721183","0.5374863290305568"
"MVZ19502","0.12199635271986418","0.20909895952500285","0.3096852518574399","0.3592194358976932","-0.1280036472801358","-0.04090104047499716","0.059685251857439905","0.10921943589769308","0.09192964176415727","0.01804964598363659","-0.1280036472801358","0.1938757514911892","-0.9389854603048318","0.15862465909195303","0.30980495958994664","0.5120145891205432"
"MVZ22501","0.1340485666164913","0.19819400403532283","0.30130426791068515","0.3664531614375007","-0.11595143338350869","-0.05180599596467715","0.05130426791068515","0.11645316143750072","0.10303727004649373","0.013421371198295656","-0.11595143338350869","0.1295281589741499","-0.840122737967144","0.15569697211945635","0.33569436697796035","0.46380573353403476"
"MVZ22502","0.11601806171476829","0.20326568062005126","0.31238731536831393","0.36832894229686647","-0.1339819382852317","-0.04673431937994874","0.062387315368313954","0.1183289422968665","0.10108019159692366","0.018801972076435334","-0.1339819382852317","0.1839086025838259","-0.9162694545024797","0.1688842179539032","0.31512497153603025","0.5359277531409268"
"MVZ24550","0.14165386004397684","0.20942178709527554","0.2997373484855609","0.3491870043751867","-0.10834613995602316","-0.04057821290472446","0.049737348485560884","0.09918700437518674","0.08558836653125117","0.01444827944942248","-0.10834613995602316","0.16723457411797818","-0.8953668920383766","0.1388272570783798","0.32033272513152916","0.43338455982409263"
"MVZ29153","0.1285118342489626","0.2067664182225144","0.30383333765067033","0.36088840987785265","-0.12148816575103741","-0.0432335817774856","0.053833337650670346","0.11088840987785266","0.0943800594242664","0.014146324241804202","-0.12148816575103741","0.14877922792597112","-0.9049321571306959","0.15448976834740175","0.31791114672023624","0.4859526630041497"
"MVZ29166","0.12524003218364768","0.2061844441138896","0.30568554873399584","0.3628899749684669","-0.12475996781635232","-0.043815555886110434","0.05568554873399587","0.1128899749684669","0.09596214761641998","0.014954134054074579","-0.12475996781635232","0.15459031237638254","-0.9093297554076689","0.15810569082104564","0.31681975714713734","0.4990398712654093"
"MVZ29169","0.12035344135604913","0.20599281894948682","0.3115010932679623","0.3621526464265018","-0.12964655864395086","-0.044007181050513156","0.06150109326796237","0.11215264642650169","0.09562797390993463","0.019394779762925213","-0.12964655864395086","0.20010074153599314","-0.9256188683099688","0.16226243263426968","0.3128938290600755","0.5185862345758034"
"MVZ29170","0.12532234668246853","0.2066186892437566","0.308694428873998","0.3593645351997768","-0.12467765331753149","-0.04338131075624342","0.05869442887399802","0.1093645351997769","0.09353734573050276","0.018174635950387246","-0.12467765331753147","0.19191222762487234","-0.9182283646493372","0.15692058397483513","0.3146525856866802","0.49871061327012595"
"MVZ29172","0.11858950099168633","0.20201731745737692","0.3087420896595137","0.37065109189142303","-0.13141049900831367","-0.04798268254262303","0.05874208965951375","0.12065109189142298","0.10326667519075199","0.015844767425022166","-0.13141049900831367","0.15224808304808118","-0.8990937447196009","0.16788026122602775","0.31938137076742784","0.5256419960332547"
"MVZ29173","0.11861468398579474","0.20746709449421596","0.3108969225584229","0.36302129896156643","-0.13138531601420528","-0.04253290550578406","0.06089692255842292","0.11302129896156643","0.09525710707239304","0.018139216390688287","-0.13138531601420528","0.18817090892006386","-0.934987855174966","0.16329436268047393","0.31071653902103236","0.5255412640568211"
"MVZ29177","0.12183534876091788","0.21063819455461708","0.3099817069318258","0.35754474975263917","-0.1281646512390821","-0.039361805445382946","0.059981706931825814","0.10754474975263928","0.0899615250262915","0.018307160578175347","-0.1281646512390821","0.200758563920076","-0.9492089538776021","0.15765280188035583","0.3075200540012114","0.5126586049563284"
"MVZ82393","0.11795111751131192","0.20739506211439968","0.31245521559015405","0.3621986047841344","-0.13204888248868807","-0.04260493788560032","0.062455215590154024","0.11219860478413438","0.09479742247900327","0.019557429568470095","-0.13204888248868807","0.20345314643098708","-0.9382544709099147","0.16372523240630826","0.309970878436502","0.5281955299547523"
"MVZ82394","0.12347888095789905","0.2048818435042985","0.3060558123048825","0.36558346323291996","-0.12652111904210095","-0.045118156495701514","0.05605581230488252","0.11558346323291996","0.09840924229347527","0.014724196889564098","-0.12652111904210095","0.14852033680290358","-0.9043618928062472","0.16096202815100227","0.31805367627486925","0.5060844761684038"
"MVZ139540","0.11533712617387758","0.19478846092374058","0.31238688556222355","0.3774875273401582","-0.1346628738261224","-0.05521153907625943","0.062386885562223535","0.1274875273401583","0.11187987230076943","0.018560769128976258","-0.1346628738261224","0.16440175431811027","-0.8708655941901106","0.17605595009486558","0.32684574651620424","0.5386514953044895"
"MVZ139544","0.10891263172358495","0.18376996092078599","0.305932430571522","0.40138497678410706","-0.14108736827641505","-0.06623003907921396","0.05593243057152197","0.15138497678410703","0.13326143730820086","0.009443383994044994","-0.14108736827641505","0.07074532980074243","-0.8126655864504341","0.19430242834784978","0.3442945153799613","0.5643494731056602"
"MVZ139545","0.11615752599473614","0.19316318299569832","0.3051568118469696","0.38552247916259597","-0.13384247400526386","-0.05683681700430166","0.05515681184696958","0.13552247916259597","0.11779553072245177","0.01118217303848087","-0.13384247400526386","0.09464505329930407","-0.8468566501365006","0.17864667895008948","0.3336883158313846","0.5353698960210554"
"MVZ139546","0.10934414837373582","0.18351873843727018","0.312316051056575","0.39482106213241897","-0.14065585162626418","-0.06648126156272978","0.062316051056575006","0.14482106213241897","0.12939571862937946","0.016366800169056818","-0.14065585162626418","0.12581826986433806","-0.82311472004833","0.19182073074643682","0.34093983387218496","0.5626234065050567"
"MVZ143776","0.15117356155417394","0.212709933983357","0.2918198077237258","0.34429669673874325","-0.09882643844582606","-0.03729006601664297","0.04181980772372582","0.09429669673874323","0.08058010641384052","0.009416182051266844","-0.09882643844582606","0.1163273502496091","-0.8834299977314403","0.12786118633101723","0.3234488370263065","0.3953057537833043"
"MVZ152933","0.1275998233570206","0.19232021631361818","0.2980258077112173","0.38205415261814385","-0.12240017664297939","-0.05767978368638183","0.04802580771121732","0.1320541526181439","0.11618783270895316","0.007664063995503412","-0.12240017664297939","0.0658672865959042","-0.810346237117262","0.1689383129688568","0.34505324584134645","0.4896007065719176"
"MVZ152934","0.1229698013130802","0.1997697305368023","0.30645725207874935","0.37080321607136807","-0.12703019868691978","-0.050230269463197676","0.05645725207874935","0.12080321607136814","0.1047361921223435","0.014970001234565215","-0.12703019868691978","0.14196898996054783","-0.8763270148088134","0.16531921320793191","0.3253541577451589","0.5081207947476791"
"MVZ102593","0.13499714923067785","0.21802783699343867","0.3048213154082682","0.3421536983676153","-0.11500285076932215","-0.03197216300656137","0.05482131540826819","0.09215369836761535","0.07601125606254312","0.01748713800074336","-0.11500285076932215","0.22612522816514308","-0.9748400444573652","0.13895742775661013","0.3020738764888036","0.46001140307728855"
"MVZ102594","0.13001000220210446","0.2124161301346124","0.30860712074353214","0.34896674691975094","-0.11998999779789554","-0.03758386986538758","0.05860712074353215","0.09896674691975099","0.08361983379647835","0.0197393681966301","-0.11998999779789554","0.23181704363919237","-0.9493836583019655","0.14757885631922946","0.30748157977259705","0.47995999119158217"
"MVZ102596","0.12651793166971131","0.2132666781976228","0.3091813638617029","0.3510340262709629","-0.12348206833028869","-0.036733321802377206","0.05918136386170294","0.10103402627096299","0.08436492649902164","0.019113811624074047","-0.12348206833028869","0.22279983423367758","-0.9597138650547851","0.1507667065937039","0.30524008188467194","0.49392827332115474"
"MVZ102600","0.1129652835796155","0.20710689676097555","0.317441420503429","0.36248639915597997","-0.1370347164203845","-0.04289310323902441","0.06744142050342898","0.11248639915597995","0.09515012433882938","0.023083340036827427","-0.1370347164203845","0.238001127198665","-0.9504108072476523","0.16841882392822272","0.30725576030595136","0.548138865681538"
"MVZ102601","0.11852480543723892","0.21079654674184176","0.312904270252181","0.3577743775687383","-0.13147519456276108","-0.03920345325815822","0.06290427025218101","0.10777437756873831","0.09000517225675105","0.02023655327478807","-0.13147519456276108","0.2211599295454617","-0.9589509676602674","0.1606118797185521","0.3054033885492414","0.5259007782510442"
"MVZ102604","0.1411207113675952","0.21515149752828988","0.3053812555164812","0.3383465355876336","-0.10887928863240481","-0.03484850247171011","0.05538125551648121","0.08834653558763372","0.07544124552203649","0.02024605032812272","-0.10887928863240481","0.2621905219091965","-0.9484833782088387","0.1339999387048501","0.3076800472981986","0.43551715452961925"
"MVZ102608","0.13394040147356612","0.22134731746797862","0.3063747818468399","0.3383374992116154","-0.11605959852643388","-0.02865268253202135","0.05637478184683994","0.08833749921161532","0.07164156254684446","0.018761221227804378","-0.11605959852643388","0.25612466781479043","-1.0028336716548167","0.13767471560249928","0.2965603822314238","0.46423839410573553"
"MVZ102610","0.11780563621675973","0.20786616406468097","0.31672785568922274","0.35760034402933655","-0.1321943637832403","-0.04213383593531902","0.06672785568922272","0.1076003440293366","0.09169308449186861","0.02403781334494482","-0.1321943637832403","0.25638567368117304","-0.9487109197864562","0.16266772276667255","0.307629837822359","0.5287774551329611"
"MVZ102612","0.11832655834807841","0.1973533595585819","0.31434867093824087","0.36997141115509874","-0.13167344165192157","-0.052646640441418084","0.06434867093824091","0.11997141115509877","0.10570653670122136","0.0216984806240353","-0.13167344165192157","0.20245860025157725","-0.8842586083043685","0.17024274198690612","0.3232290806921839","0.5266937666076863"
"MVZ102614","0.12105580796514681","0.20370878457036434","0.31559042222027156","0.3596449852442173","-0.1289441920348532","-0.046291215429635685","0.06559042222027156","0.1096449852442173","0.09549103101979552","0.023980492208031688","-0.1289441920348532","0.24604023072294237","-0.918675800546277","0.16223503219491195","0.31454505556764506","0.5157767681394126"
"MVZ102623","0.14004130982086901","0.21601373762532763","0.3007243424785617","0.3432206100752417","-0.10995869017913099","-0.033986262374672366","0.050724342478561724","0.09322061007524164","0.07789798231939812","0.014925022068702689","-0.10995869017913099","0.18930288014215058","-0.9459075408927594","0.13557936966623882","0.3082506927041642","0.43983476071652394"
"MVZ158333","0.13244989078881939","0.21415651772163705","0.30614772837044607","0.3472458631190975","-0.11755010921118059","-0.03584348227836294","0.05614772837044605","0.09724586311909751","0.08150024660620177","0.017993419542221525","-0.11755010921118061","0.21729177663326626","-0.9533773786454676","0.14416685305317095","0.3066072290800108","0.4702004368447224"
"MVZ42658","0.12019263587283756","0.2068825509329895","0.3137503695313261","0.3591744436628469","-0.12980736412716243","-0.043117449067010524","0.06375036953132612","0.10917444366284684","0.09325935728770542","0.021723644186989455","-0.12980736412716243","0.22885693903426957","-0.9352278990534539","0.16130460694016321","0.31066150989350905","0.5192294565086497"
"MVZ42659","0.12578828353768678","0.21748256486326617","0.30994671135094964","0.34678244024809735","-0.12421171646231323","-0.032517435136733795","0.05994671135094965","0.09678244024809739","0.0791796796245718","0.019667615652472412","-0.12421171646231322","0.2434648780112975","-0.9896359034986904","0.14860951274200887","0.2991052635262031","0.4968468658492529"
"MVZ82368","0.1185819304100434","0.21855464617030687","0.3149590195100528","0.347904403909597","-0.1314180695899566","-0.03144535382969313","0.06495901951005278","0.09790440390959697","0.07921022620347004","0.02243614070342939","-0.1314180695899566","0.276018055421104","-1.0111573120711141","0.15507530222320912","0.29500376680898316","0.5256722783598264"
"MVZ102618","0.12678960504353157","0.19916033007630735","0.3102872348106179","0.3637628300695433","-0.12321039495646843","-0.050839669923692675","0.060287234810617894","0.1137628300695432","0.10079803384247484","0.02038281593716458","-0.12321039495646843","0.19952390015303806","-0.8752782515789099","0.1604883305333007","0.32563877948366887","0.49284157982587373"
"MVZ158332","0.1295978271781973","0.20926089067768106","0.30692302286420187","0.3542182592799198","-0.12040217282180271","-0.040739109322318924","0.056923022864201867","0.10421825927991979","0.08876789688300601","0.01780738677342536","-0.12040217282180271","0.19797833636252266","-0.926048376679114","0.150643704684071","0.3127927452501756","0.4816086912872109"
"MVZ158334","0.14001939431709742","0.22268298805484368","0.30713067514422443","0.3301669424838344","-0.10998060568290256","-0.027317011945156327","0.05713067514422442","0.08016694248383448","0.0658202109718969","0.02171221567367817","-0.10998060568290258","0.31863172951070107","-1.0084722809378295","0.12999790039928888","0.2955018741533858","0.43992242273161025"
"MVZ158335","0.1351381297259853","0.2170840035866786","0.30487186405564964","0.3429060026316865","-0.1148618702740147","-0.03291599641332144","0.05487186405564967","0.09290600263168651","0.07704992401930544","0.01759059706988171","-0.1148618702740147","0.224454427674125","-0.9681256282004325","0.13942513811899293","0.3034626238158495","0.4594474810960589"
"MVZ158337","0.1284951521807991","0.216646648889059","0.30897049892955414","0.34588770000058777","-0.12150484781920091","-0.033353351110941","0.058970498929554166","0.09588770000058776","0.07914365726105155","0.019589208604564454","-0.1215048478192009","0.2426380740514173","-0.9797873662747936","0.14632458310883756","0.30106737660082583","0.4860193912768036"
"MVZ59518","0.13561929367151454","0.20938701438870197","0.2999700274504456","0.35502366448933786","-0.11438070632848545","-0.04061298561129801","0.04997002745044562","0.10502366448933785","0.08918387014870256","0.012561531358542473","-0.11438070632848546","0.13992932007913303","-0.9037813426361637","0.14558331204150948","0.3181990143149984","0.4575228253139418"
"MVZ59534","0.13683112395411934","0.21230722859475096","0.30117152236346406","0.3496901250876656","-0.11316887604588066","-0.03769277140524902","0.05117152236346405","0.09969012508766567","0.08412949894830941","0.014264355864615708","-0.11316887604588066","0.16795506734206272","-0.9247351959249297","0.14173369023282323","0.31310218671642964","0.45267550418352265"
"MVZ59535","0.1384662766758499","0.20235743763960162","0.2954703325308435","0.3637059531537051","-0.11153372332415008","-0.047642562360398384","0.0454703325308435","0.11370595315370498","0.09880538344127217","0.008795444666304697","-0.1115337233241501","0.08878384927494065","-0.8438785868777221","0.14926364286859312","0.3345706536551028","0.44613489329660033"
"MVZ59538","0.13858947158642043","0.2026607026139694","0.2954888177099531","0.36326100808965694","-0.11141052841357957","-0.047339297386030633","0.04548881770995314","0.11326100808965706","0.09834720023763549","0.00885860713789054","-0.11141052841357957","0.08983240037853778","-0.8455909355920176","0.1488722692659653","0.3340623893132429","0.4456421136543183"
"MVZ59539","0.14334334260547402","0.214137749043392","0.2984202348233277","0.3440986735278063","-0.106656657394526","-0.03586225095660797","0.0484202348233277","0.09409867352780628","0.07958448787179799","0.013648591734150206","-0.10665665739452598","0.16984585677372968","-0.9227869136733177","0.13377450180327777","0.3135634124282606","0.426626629578104"
"MVZ59541","0.1411656393124815","0.2142454407400557","0.2964063493399789","0.3481825706074839","-0.1088343606875185","-0.035754559259944294","0.04640634933997889","0.09818257060748392","0.08201940644702096","0.010742609228492938","-0.1088343606875185","0.13023508865969333","-0.9208920100149667","0.13670224853022206","0.314014452022916","0.435337442750074"
"MVZ59542","0.1406687583691798","0.20933547025547658","0.29655341100034577","0.3534423603749979","-0.1093312416308202","-0.040664529744523364","0.04655341100034576","0.10344236037499782","0.08824708730303743","0.010722917732214378","-0.1093312416308202","0.12091738179389733","-0.8881243064382094","0.14091078659456321","0.3222107068681657","0.4373249665232808"
"MVZ59543","0.14520287239797672","0.21679581394049627","0.29825884696047933","0.33974246670104763","-0.10479712760202328","-0.033204186059503725","0.04825884696047934","0.08974246670104769","0.07528914121162392","0.014134857118866822","-0.10479712760202328","0.1855807351479119","-0.9395802239261626","0.12981019576207942","0.30967021408984974","0.4191885104080932"
"MVZ59545","0.13075310743472182","0.21397302970317156","0.30343316601496506","0.3518406968471416","-0.11924689256527818","-0.036026970296828456","0.05343316601496508","0.10184069684714157","0.08442635913264997","0.014514287860006601","-0.11924689256527818","0.17025227668485216","-0.9478392646229111","0.14682743631540163","0.30782235318003215","0.47698757026111266"
"MVZ59552","0.13937112701242194","0.2133457517695717","0.29763856502604635","0.34964455619196","-0.11062887298757806","-0.03665424823042831","0.04763856502604635","0.09964455619196","0.08346563084656264","0.011415115421599651","-0.11062887298757806","0.1359210050495637","-0.9199830901268304","0.13905237837306053","0.3142316617215155","0.4425154919503122"
